Date,EnegryConsum
2011-03-21 01:00:00.000,20808
2011-03-21 02:00:00.000,20098
2011-03-21 03:00:00.000,19306
2011-03-21 04:00:00.000,18339
2011-03-21 05:00:00.000,17646
2011-03-21 06:00:00.000,17326
2011-03-21 07:00:00.000,16778
2011-03-21 08:00:00.000,16961
2011-03-21 09:00:00.000,17786
2011-03-21 10:00:00.000,18206
2011-03-21 11:00:00.000,18537
2011-03-21 12:00:00.000,18457
2011-03-21 13:00:00.000,18399
2011-03-21 14:00:00.000,18233
2011-03-21 15:00:00.000,18132
2011-03-21 16:00:00.000,17893
2011-03-21 17:00:00.000,17959
2011-03-21 18:00:00.000,18536
2011-03-21 19:00:00.000,20404
2011-03-21 20:00:00.000,21789
2011-03-21 21:00:00.000,21492
2011-03-21 22:00:00.000,21345
2011-03-21 23:00:00.000,20763
2011-03-22 00:00:00.000,20128
2011-03-22 01:00:00.000,-994
2011-03-22 02:00:00.000,18202
2011-03-22 03:00:00.000,17984
2011-03-22 04:00:00.000,17268
2011-03-22 05:00:00.000,17130
2011-03-22 06:00:00.000,17005
2011-03-22 07:00:00.000,16797
2011-03-22 08:00:00.000,16476
2011-03-22 09:00:00.000,16894
2011-03-22 10:00:00.000,17856
2011-03-22 11:00:00.000,18463
2011-03-22 12:00:00.000,18836
2011-03-22 13:00:00.000,19002
2011-03-22 14:00:00.000,19135
2011-03-22 15:00:00.000,18764
2011-03-22 16:00:00.000,18750
2011-03-22 17:00:00.000,18466
2011-03-22 18:00:00.000,18588
2011-03-22 19:00:00.000,19002
2011-03-22 20:00:00.000,21093
2011-03-22 21:00:00.000,22196
2011-03-22 22:00:00.000,21986
2011-03-22 23:00:00.000,21400
2011-03-23 00:00:00.000,21007
2011-03-23 01:00:00.000,19975
2011-03-23 02:00:00.000,18683
2011-03-23 03:00:00.000,17785
2011-03-23 04:00:00.000,17476
2011-03-23 05:00:00.000,16922
2011-03-23 06:00:00.000,17022
2011-03-23 07:00:00.000,16943
2011-03-23 08:00:00.000,16591
2011-03-23 09:00:00.000,17101
2011-03-23 10:00:00.000,17897
2011-03-23 11:00:00.000,18883
2011-03-23 12:00:00.000,19285
2011-03-23 13:00:00.000,19507
2011-03-23 14:00:00.000,19322
2011-03-23 15:00:00.000,19278
2011-03-23 16:00:00.000,18972
2011-03-23 17:00:00.000,18926
2011-03-23 18:00:00.000,19113
2011-03-23 19:00:00.000,19323
2011-03-23 20:00:00.000,21246
2011-03-23 21:00:00.000,22440
2011-03-23 22:00:00.000,22034
2011-03-23 23:00:00.000,21677
2011-03-24 00:00:00.000,21059
2011-03-24 01:00:00.000,20072
2011-03-24 02:00:00.000,18848
2011-03-24 03:00:00.000,18087
2011-03-24 04:00:00.000,17456
2011-03-24 05:00:00.000,17201
2011-03-24 06:00:00.000,17245
2011-03-24 07:00:00.000,17169
2011-03-24 08:00:00.000,16743
2011-03-24 09:00:00.000,17106
2011-03-24 10:00:00.000,18173
2011-03-24 11:00:00.000,18863
2011-03-24 12:00:00.000,19077
2011-03-24 13:00:00.000,18939
2011-03-24 14:00:00.000,18880
2011-03-24 15:00:00.000,18744
2011-03-24 16:00:00.000,18886
2011-03-24 17:00:00.000,18925
2011-03-24 18:00:00.000,18836
2011-03-24 19:00:00.000,19128
2011-03-24 20:00:00.000,21046
2011-03-24 21:00:00.000,22446
2011-03-24 22:00:00.000,22169
2011-03-24 23:00:00.000,21579
2011-03-25 00:00:00.000,21259
2011-03-25 01:00:00.000,20098
2011-03-25 02:00:00.000,18859
2011-03-25 03:00:00.000,18126
2011-03-25 04:00:00.000,17485
2011-03-25 05:00:00.000,17286
2011-03-25 06:00:00.000,17115
2011-03-25 07:00:00.000,17189
2011-03-25 08:00:00.000,16559
2011-03-25 09:00:00.000,17076
2011-03-25 10:00:00.000,17768
2011-03-25 11:00:00.000,18826
2011-03-25 12:00:00.000,19238
2011-03-25 13:00:00.000,19230
2011-03-25 14:00:00.000,19265
2011-03-25 15:00:00.000,19140
2011-03-25 16:00:00.000,18845
2011-03-25 17:00:00.000,18958
2011-03-25 18:00:00.000,18798
2011-03-25 19:00:00.000,19400
2011-03-25 20:00:00.000,21141
2011-03-25 21:00:00.000,22423
2011-03-25 22:00:00.000,21868
2011-03-25 23:00:00.000,21458
2011-03-26 00:00:00.000,20682
2011-03-26 01:00:00.000,19874
2011-03-26 02:00:00.000,18595
2011-03-26 03:00:00.000,18036
2011-03-26 04:00:00.000,17515
2011-03-26 05:00:00.000,17503
2011-03-26 06:00:00.000,17364
2011-03-26 07:00:00.000,17640
2011-03-26 08:00:00.000,17606
2011-03-26 09:00:00.000,18602
2011-03-26 10:00:00.000,19696
2011-03-26 11:00:00.000,20544
2011-03-26 12:00:00.000,21109
2011-03-26 13:00:00.000,21319
2011-03-26 14:00:00.000,21096
2011-03-26 15:00:00.000,20805
2011-03-26 16:00:00.000,20334
2011-03-26 17:00:00.000,20244
2011-03-26 18:00:00.000,20160
2011-03-26 19:00:00.000,20420
2011-03-26 20:00:00.000,22079
2011-03-26 21:00:00.000,23383
2011-03-26 22:00:00.000,23029
2011-03-26 23:00:00.000,22286
2011-03-27 00:00:00.000,21982
2011-03-27 01:00:00.000,20699
2011-03-27 02:00:00.000,19641
2011-03-27 03:00:00.000,18616
2011-03-27 04:00:00.000,18220
2011-03-27 05:00:00.000,18028
2011-03-27 06:00:00.000,17957
2011-03-27 07:00:00.000,18033
2011-03-27 08:00:00.000,17981
2011-03-27 09:00:00.000,19144
2011-03-27 10:00:00.000,19927
2011-03-27 11:00:00.000,20826
2011-03-27 12:00:00.000,21286
2011-03-27 13:00:00.000,21246
2011-03-27 14:00:00.000,20901
2011-03-27 15:00:00.000,20878
2011-03-27 16:00:00.000,20573
2011-03-27 17:00:00.000,20163
2011-03-27 18:00:00.000,20222
2011-03-27 19:00:00.000,20294
2011-03-27 20:00:00.000,22086
2011-03-27 21:00:00.000,23723
2011-03-27 22:00:00.000,23555
2011-03-27 23:00:00.000,22862
2011-03-28 00:00:00.000,22330
2011-03-28 01:00:00.000,21041
2011-03-28 02:00:00.000,19723
2011-03-28 03:00:00.000,18858
2011-03-28 04:00:00.000,18359
2011-03-28 05:00:00.000,18233
2011-03-28 06:00:00.000,18280
2011-03-28 07:00:00.000,18397
2011-03-28 08:00:00.000,18401
2011-03-28 09:00:00.000,19389
2011-03-28 10:00:00.000,20425
2011-03-28 11:00:00.000,21097
2011-03-28 12:00:00.000,21304
2011-03-28 13:00:00.000,21373
2011-03-28 14:00:00.000,21121
2011-03-28 15:00:00.000,20699
2011-03-28 16:00:00.000,20571
2011-03-28 17:00:00.000,20362
2011-03-28 18:00:00.000,20264
2011-03-28 19:00:00.000,20412
2011-03-28 20:00:00.000,22045
2011-03-28 21:00:00.000,23770
2011-03-28 22:00:00.000,23366
2011-03-28 23:00:00.000,22708
2011-03-29 00:00:00.000,22326
2011-03-29 01:00:00.000,21025
2011-03-29 02:00:00.000,19889
2011-03-29 03:00:00.000,19026
2011-03-29 04:00:00.000,18603
2011-03-29 05:00:00.000,18430
2011-03-29 06:00:00.000,18328
2011-03-29 07:00:00.000,18535
2011-03-29 08:00:00.000,18422
2011-03-29 09:00:00.000,19438
2011-03-29 10:00:00.000,20603
2011-03-29 11:00:00.000,21222
2011-03-29 12:00:00.000,21655
2011-03-29 13:00:00.000,21589
2011-03-29 14:00:00.000,21204
2011-03-29 15:00:00.000,21077
2011-03-29 16:00:00.000,20921
2011-03-29 17:00:00.000,20876
2011-03-29 18:00:00.000,20807
2011-03-29 19:00:00.000,20920
2011-03-29 20:00:00.000,22417
2011-03-29 21:00:00.000,23945
2011-03-29 22:00:00.000,23500
2011-03-29 23:00:00.000,22803
2011-03-30 00:00:00.000,22333
2011-03-30 01:00:00.000,21160
2011-03-30 02:00:00.000,19950
2011-03-30 03:00:00.000,18979
2011-03-30 04:00:00.000,18634
2011-03-30 05:00:00.000,18574
2011-03-30 06:00:00.000,18661
2011-03-30 07:00:00.000,18535
2011-03-30 08:00:00.000,18806
2011-03-30 09:00:00.000,19778
2011-03-30 10:00:00.000,20894
2011-03-30 11:00:00.000,21749
2011-03-30 12:00:00.000,22100
2011-03-30 13:00:00.000,22151
2011-03-30 14:00:00.000,21621
2011-03-30 15:00:00.000,21617
2011-03-30 16:00:00.000,21302
2011-03-30 17:00:00.000,21253
2011-03-30 18:00:00.000,21286
2011-03-30 19:00:00.000,21279
2011-03-30 20:00:00.000,22696
2011-03-30 21:00:00.000,24135
2011-03-30 22:00:00.000,23810
2011-03-30 23:00:00.000,22992
2011-03-31 00:00:00.000,22748
2011-03-31 01:00:00.000,21627
2011-03-31 02:00:00.000,20480
2011-03-31 03:00:00.000,19425
2011-03-31 04:00:00.000,19015
2011-03-31 05:00:00.000,18614
2011-03-31 06:00:00.000,18764
2011-03-31 07:00:00.000,18751
2011-03-31 08:00:00.000,18767
2011-03-31 09:00:00.000,19609
2011-03-31 10:00:00.000,20761
2011-03-31 11:00:00.000,21384
2011-03-31 12:00:00.000,21938
2011-03-31 13:00:00.000,21922
2011-03-31 14:00:00.000,21533
2011-03-31 15:00:00.000,20948
2011-03-31 16:00:00.000,21030
2011-03-31 17:00:00.000,20758
2011-03-31 18:00:00.000,20740
2011-03-31 19:00:00.000,20833
2011-03-31 20:00:00.000,22126
2011-03-31 21:00:00.000,23719
2011-03-31 22:00:00.000,23342
2011-03-31 23:00:00.000,22670
2011-04-01 00:00:00.000,22476
2011-04-01 01:00:00.000,21555
2011-04-01 02:00:00.000,20329
2011-04-01 03:00:00.000,19346
2011-04-01 04:00:00.000,18871
2011-04-01 05:00:00.000,18632
2011-04-01 06:00:00.000,18510
2011-04-01 07:00:00.000,18336
2011-04-01 08:00:00.000,17963
2011-04-01 09:00:00.000,18593
2011-04-01 10:00:00.000,19191
2011-04-01 11:00:00.000,20061
2011-04-01 12:00:00.000,20420
2011-04-01 13:00:00.000,20417
2011-04-01 14:00:00.000,20541
2011-04-01 15:00:00.000,20128
2011-04-01 16:00:00.000,20086
2011-04-01 17:00:00.000,19709
2011-04-01 18:00:00.000,19981
2011-04-01 19:00:00.000,19888
2011-04-01 20:00:00.000,21627
2011-04-01 21:00:00.000,23343
2011-04-01 22:00:00.000,23067
2011-04-01 23:00:00.000,22751
2011-04-02 00:00:00.000,22116
2011-04-02 01:00:00.000,21096
2011-04-02 02:00:00.000,19829
2011-04-02 03:00:00.000,18794
2011-04-02 04:00:00.000,18414
2011-04-02 05:00:00.000,18251
2011-04-02 06:00:00.000,18051
2011-04-02 07:00:00.000,17876
2011-04-02 08:00:00.000,17289
2011-04-02 09:00:00.000,17512
2011-04-02 10:00:00.000,17858
2011-04-02 11:00:00.000,18160
2011-04-02 12:00:00.000,17935
2011-04-02 13:00:00.000,17831
2011-04-02 14:00:00.000,17751
2011-04-02 15:00:00.000,17735
2011-04-02 16:00:00.000,17494
2011-04-02 17:00:00.000,17742
2011-04-02 18:00:00.000,17927
2011-04-02 19:00:00.000,18305
2011-04-02 20:00:00.000,20446
2011-04-02 21:00:00.000,22364
2011-04-02 22:00:00.000,22680
2011-04-02 23:00:00.000,22202
2011-04-03 00:00:00.000,21421
2011-04-03 01:00:00.000,20078
2011-04-03 02:00:00.000,19245
2011-04-03 03:00:00.000,18598
2011-04-03 04:00:00.000,18220
2011-04-03 05:00:00.000,18030
2011-04-03 06:00:00.000,18251
2011-04-03 07:00:00.000,18656
2011-04-03 08:00:00.000,19190
2011-04-03 09:00:00.000,20687
2011-04-03 10:00:00.000,22142
2011-04-03 11:00:00.000,23084
2011-04-03 12:00:00.000,23657
2011-04-03 13:00:00.000,23669
2011-04-03 14:00:00.000,23530
2011-04-03 15:00:00.000,23218
2011-04-03 16:00:00.000,23090
2011-04-03 17:00:00.000,22879
2011-04-03 18:00:00.000,22950
2011-04-03 19:00:00.000,22905
2011-04-03 20:00:00.000,24335
2011-04-03 21:00:00.000,25684
2011-04-03 22:00:00.000,25085
2011-04-03 23:00:00.000,24392
2011-04-04 00:00:00.000,23392
2011-04-04 01:00:00.000,22101
2011-04-04 02:00:00.000,21011
2011-04-04 03:00:00.000,20290
2011-04-04 04:00:00.000,19964
2011-04-04 05:00:00.000,19677
2011-04-04 06:00:00.000,19784
2011-04-04 07:00:00.000,19953
2011-04-04 08:00:00.000,20618
2011-04-04 09:00:00.000,21958
2011-04-04 10:00:00.000,23057
2011-04-04 11:00:00.000,23927
2011-04-04 12:00:00.000,24451
2011-04-04 13:00:00.000,24540
2011-04-04 14:00:00.000,23987
2011-04-04 15:00:00.000,23489
2011-04-04 16:00:00.000,23434
2011-04-04 17:00:00.000,23291
2011-04-04 18:00:00.000,23269
2011-04-04 19:00:00.000,23510
2011-04-04 20:00:00.000,24906
2011-04-04 21:00:00.000,25714
2011-04-04 22:00:00.000,25369
2011-04-04 23:00:00.000,24041
2011-04-05 00:00:00.000,23483
2011-04-05 01:00:00.000,22471
2011-04-05 02:00:00.000,21179
2011-04-05 03:00:00.000,20712
2011-04-05 04:00:00.000,20396
2011-04-05 05:00:00.000,20122
2011-04-05 06:00:00.000,20227
2011-04-05 07:00:00.000,20148
2011-04-05 08:00:00.000,20970
2011-04-05 09:00:00.000,22262
